epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1639.56,0.73014,0.41652,0.88431,0.96386,0.92217,0.96968,0.80627,0.59422,0.38781,0.85384,0.0006734,0.0006734,0.0006734
69,1663.76,0.72354,0.41492,0.8853,0.95924,0.92047,0.96948,0.79924,0.62395,0.42709,0.8636,0.0006536,0.0006536,0.0006536
70,1686.42,0.71476,0.41282,0.88399,0.95909,0.93529,0.97317,0.81041,0.59478,0.42633,0.85472,0.0006338,0.0006338,0.0006338
71,1710.72,0.70512,0.39937,0.88111,0.96254,0.92609,0.97116,0.80145,0.663,0.4695,0.86098,0.000614,0.000614,0.000614
72,1732.92,0.716,0.40957,0.89044,0.9331,0.90184,0.95606,0.76869,0.71225,0.50933,0.88111,0.0005942,0.0005942,0.0005942
73,1755.59,0.69921,0.40382,0.87947,0.94719,0.92452,0.96813,0.79791,0.65657,0.46621,0.8693,0.0005744,0.0005744,0.0005744
74,1778.52,0.70766,0.40463,0.878,0.95567,0.94435,0.9757,0.81875,0.61739,0.42989,0.86069,0.0005546,0.0005546,0.0005546
75,1803.44,0.69402,0.39954,0.8783,0.95805,0.93625,0.97347,0.81058,0.61485,0.36576,0.84643,0.0005348,0.0005348,0.0005348
76,1826.09,0.67926,0.39307,0.87503,0.96142,0.93548,0.97375,0.80156,0.67111,0.467,0.8566,0.000515,0.000515,0.000515
77,1849.89,0.65934,0.38115,0.87403,0.94822,0.94368,0.97194,0.81825,0.59232,0.40689,0.8463,0.0004952,0.0004952,0.0004952
78,1872.29,0.66508,0.38385,0.87152,0.95387,0.92192,0.96594,0.79142,0.65145,0.42591,0.86029,0.0004754,0.0004754,0.0004754
79,1896.35,0.65019,0.37824,0.87036,0.96355,0.9343,0.97441,0.81044,0.60623,0.39889,0.84831,0.0004556,0.0004556,0.0004556
80,1918.84,0.65658,0.38512,0.87381,0.96657,0.93625,0.97684,0.82287,0.6135,0.37047,0.8484,0.0004358,0.0004358,0.0004358
